video_id,filename,stroke,view,condition,player_id,rep,include_in_public_demo,notes
TPEA_0001,forehand_side_clean_p1_01.MOV,forehand,side,clean,p1,01,no,
TPEA_0002,forehand_side_clean_p1_02.MOV,forehand,side,clean,p1,02,no,
TPEA_0003,forehand_side_clean_p1_03.MOV,forehand,side,clean,p1,03,no,
TPEA_0004,forehand_back_clean_p1_01.MOV,forehand,back,clean,p1,01,no,
TPEA_0005,forehand_back_clean_p1_02.MOV,forehand,back,clean,p1,02,no,
TPEA_0006,forehand_back_clean_p1_03.MOV,forehand,back,clean,p1,03,no,
TPEA_0007,forehand_diag_clean_p1_01.MOV,forehand,diag,clean,p1,01,no,
TPEA_0008,forehand_diag_clean_p1_02.MOV,forehand,diag,clean,p1,02,no,
TPEA_0009,forehand_diag_clean_p1_03.MOV,forehand,diag,clean,p1,03,no,
TPEA_0010,backhand_side_clean_p1_01.MOV,backhand,side,clean,p1,01,no,
TPEA_0011,backhand_side_clean_p1_02.MOV,backhand,side,clean,p1,02,no,
TPEA_0012,backhand_side_clean_p1_03.MOV,backhand,side,clean,p1,03,no,
TPEA_0013,backhand_back_clean_p1_01.MOV,backhand,back,clean,p1,01,no,
TPEA_0014,backhand_back_clean_p1_02.MOV,backhand,back,clean,p1,02,no,
TPEA_0015,backhand_back_clean_p1_03.MOV,backhand,back,clean,p1,03,no,
TPEA_0016,backhand_diag_clean_p1_01.MOV,backhand,diag,clean,p1,01,no,
TPEA_0017,backhand_diag_clean_p1_02.MOV,backhand,diag,clean,p1,02,no,
TPEA_0018,backhand_diag_clean_p1_03.MOV,backhand,diag,clean,p1,03,no,
TPEA_0019,serve_side_clean_p1_01.MOV,serve,side,clean,p1,01,no,
TPEA_0020,serve_side_clean_p1_02.MOV,serve,side,clean,p1,02,no,
TPEA_0021,serve_side_clean_p1_03.MOV,serve,side,clean,p1,03,no,
TPEA_0022,serve_back_clean_p1_01.MOV,serve,back,clean,p1,01,no,
TPEA_0023,serve_back_clean_p1_02.MOV,serve,back,clean,p1,02,no,
TPEA_0024,serve_back_clean_p1_03.MOV,serve,back,clean,p1,03,no,
TPEA_0025,serve_diag_clean_p1_01.MOV,serve,diag,clean,p1,01,no,
TPEA_0026,serve_diag_clean_p1_02.MOV,serve,diag,clean,p1,02,no,
TPEA_0027,serve_diag_clean_p1_03.MOV,serve,diag,clean,p1,03,no,
TPEA_0028,forehand_side_fast_p1_01.MOV,forehand,side,fast,p1,01,no,
TPEA_0029,forehand_back_fast_p1_01.MOV,forehand,back,fast,p1,01,no,
TPEA_0030,forehand_diag_fast_p1_01.MOV,forehand,diag,fast,p1,01,no,
TPEA_0031,backhand_side_fast_p1_01.MOV,backhand,side,fast,p1,01,no,
TPEA_0032,backhand_back_fast_p1_01.MOV,backhand,back,fast,p1,01,no,
TPEA_0033,backhand_diag_fast_p1_01.MOV,backhand,diag,fast,p1,01,no,
TPEA_0034,serve_side_fast_p1_01.MOV,serve,side,fast,p1,01,no,
TPEA_0035,serve_back_fast_p1_01.MOV,serve,back,fast,p1,01,no,
TPEA_0036,serve_diag_fast_p1_01.MOV,serve,diag,fast,p1,01,no,
